DateTime,PlayersCount
1/1/2006 0:00,4878
1/1/2006 1:00,4854
1/1/2006 2:00,4558
1/1/2006 3:00,3794
1/1/2006 4:00,2870
1/1/2006 5:00,2004
1/1/2006 6:00,1376
1/1/2006 7:00,1134
1/1/2006 8:00,1304
1/1/2006 9:00,1956
1/1/2006 10:00,2728
1/1/2006 11:00,3426
1/1/2006 12:00,3880
1/1/2006 13:00,4350
1/1/2006 14:00,4762
1/1/2006 15:00,5288
1/1/2006 16:00,5434
1/1/2006 17:00,5284
1/1/2006 18:00,4604
1/1/2006 19:00,4584
1/1/2006 20:00,5248
1/1/2006 21:00,5990
1/1/2006 22:00,6550
1/1/2006 23:00,6466
1/10/2006 0:00,1962
1/10/2006 1:00,1457
1/10/2006 2:00,1009
1/10/2006 3:00,652
1/10/2006 4:00,328
1/10/2006 5:00,223
1/10/2006 6:00,175
1/10/2006 7:00,233
1/10/2006 8:00,465
1/10/2006 9:00,664
1/10/2006 10:00,835
1/10/2006 11:00,1032
1/10/2006 12:00,1015
1/10/2006 13:00,1148
1/10/2006 14:00,1281
1/10/2006 15:00,1271
1/10/2006 16:00,1246
1/10/2006 17:00,1295
1/10/2006 18:00,1243
1/10/2006 19:00,1397
1/10/2006 20:00,1833
1/10/2006 21:00,1973
1/10/2006 22:00,2028
1/10/2006 23:00,1905
1/15/2006 0:00,6106
1/15/2006 1:00,5188
1/15/2006 2:00,4266
1/15/2006 3:00,3146
1/15/2006 4:00,2222
1/15/2006 5:00,1594
1/15/2006 6:00,1406
1/15/2006 7:00,1470
1/15/2006 8:00,1732
1/15/2006 9:00,2328
1/15/2006 10:00,2544
1/15/2006 11:00,3698
1/15/2006 12:00,3930
1/15/2006 13:00,3696
1/15/2006 14:00,5018
1/15/2006 15:00,5416
1/15/2006 16:00,5290
1/15/2006 17:00,5206
1/15/2006 18:00,3046
1/22/2006 0:00,5220
1/22/2006 1:00,5332
1/22/2006 2:00,4318
1/22/2006 3:00,3198
1/22/2006 4:00,2172
1/22/2006 5:00,1616
1/22/2006 6:00,1278
1/22/2006 7:00,1330
1/22/2006 8:00,1242
1/22/2006 12:00,3518
1/22/2006 13:00,4958
1/22/2006 14:00,5508
1/22/2006 15:00,4844
1/22/2006 16:00,5750
1/22/2006 17:00,5490
1/22/2006 18:00,5070
1/22/2006 19:00,5292
1/22/2006 20:00,5620
1/22/2006 21:00,6096
1/22/2006 22:00,5304
1/22/2006 23:00,6122
1/29/2006 0:00,4800
1/29/2006 1:00,4416
1/29/2006 2:00,3572
1/29/2006 3:00,2764
1/29/2006 4:00,1304
1/29/2006 5:00,820
1/29/2006 6:00,728
1/29/2006 7:00,956
1/29/2006 8:00,1310
1/29/2006 9:00,1782
1/29/2006 10:00,2330
1/29/2006 11:00,2904
1/29/2006 12:00,3048
1/29/2006 13:00,3696
1/29/2006 14:00,4000
1/29/2006 15:00,4258
1/29/2006 16:00,4306
1/29/2006 17:00,4250
1/29/2006 18:00,3750
1/29/2006 19:00,3786
1/29/2006 20:00,4414
1/29/2006 21:00,4766
1/29/2006 22:00,5070
1/29/2006 23:00,5236
2/4/2006 0:00,5820
2/4/2006 1:00,4796
2/4/2006 2:00,3758
2/4/2006 3:00,2730
2/4/2006 4:00,1738
2/4/2006 5:00,1198
2/4/2006 6:00,1070
2/4/2006 7:00,898
2/4/2006 8:00,1378
2/4/2006 9:00,1998
2/4/2006 10:00,2778
2/4/2006 11:00,3350
2/4/2006 12:00,3588
2/4/2006 13:00,4110
2/4/2006 14:00,3824
2/4/2006 15:00,4936
2/4/2006 16:00,5068
2/4/2006 17:00,4706
2/4/2006 18:00,4054
2/4/2006 19:00,4204
2/4/2006 20:00,2510
2/4/2006 21:00,5628
2/4/2006 22:00,5834
2/4/2006 23:00,5266
2/7/2006 0:00,2207
2/7/2006 1:00,1780
2/7/2006 2:00,1365
2/7/2006 3:00,815
2/7/2006 4:00,520
2/7/2006 5:00,412
2/7/2006 6:00,364
2/7/2006 7:00,401
2/7/2006 8:00,540
2/7/2006 9:00,755
2/7/2006 10:00,1145
2/7/2006 11:00,1334
2/7/2006 12:00,1333
2/7/2006 13:00,1586
2/7/2006 14:00,1795
2/7/2006 15:00,1878
2/7/2006 16:00,1953
2/7/2006 17:00,1515
2/7/2006 18:00,1579
2/7/2006 19:00,1559
2/7/2006 20:00,2043
2/7/2006 21:00,2467
2/7/2006 22:00,2630
2/7/2006 23:00,2429
2/19/2006 0:00,6330
2/19/2006 1:00,5300
2/19/2006 2:00,4266
2/19/2006 3:00,3236
2/19/2006 4:00,2344
2/19/2006 5:00,1564
2/19/2006 6:00,1176
2/19/2006 7:00,1196
2/19/2006 8:00,1500
2/19/2006 9:00,2160
2/19/2006 10:00,3020
2/19/2006 11:00,3774
2/19/2006 12:00,3384
2/19/2006 13:00,4790
2/19/2006 14:00,5526
2/19/2006 15:00,6054
2/19/2006 16:00,5942
2/19/2006 17:00,5852
2/19/2006 18:00,5148
2/19/2006 19:00,4708
2/19/2006 20:00,5454
2/19/2006 21:00,6100
2/19/2006 22:00,6652
2/19/2006 23:00,6378
2/26/2006 0:00,6162
2/26/2006 1:00,5258
2/26/2006 2:00,4224
2/26/2006 3:00,2962
2/26/2006 4:00,2036
2/26/2006 5:00,1526
2/26/2006 6:00,1158
2/26/2006 7:00,1122
2/26/2006 8:00,1500
2/26/2006 9:00,2158
2/26/2006 10:00,2850
2/26/2006 11:00,2924
2/26/2006 12:00,3800
2/26/2006 13:00,4514
2/26/2006 14:00,4986
2/26/2006 15:00,5426
2/26/2006 16:00,5574
2/26/2006 17:00,4518
2/26/2006 18:00,4872
2/26/2006 19:00,5190
2/26/2006 20:00,5966
2/26/2006 21:00,6348
2/26/2006 22:00,6460
2/26/2006 23:00,6214
3/9/2006 0:00,2092
3/9/2006 1:00,1824
3/9/2006 2:00,1347
3/9/2006 3:00,908
3/9/2006 4:00,629
3/9/2006 5:00,415
3/9/2006 6:00,307
3/9/2006 7:00,316
3/9/2006 8:00,435
3/9/2006 9:00,672
3/9/2006 10:00,875
3/9/2006 11:00,900
3/9/2006 12:00,1149
3/9/2006 13:00,1439
3/9/2006 14:00,1554
3/9/2006 15:00,1677
3/9/2006 16:00,1766
3/9/2006 17:00,1789
3/9/2006 18:00,1589
3/9/2006 19:00,1712
3/9/2006 20:00,2181
3/9/2006 21:00,2367
